,sample_size_pergroup,sample_size,pvalue,coefficient,M
271,18,18,0.033095184861562064,-0.20456642391686186,1
272,18,18,0.25747872773202596,-0.11995014569726428,1
273,18,18,0.004264258205296794,-0.2638060242089309,1
274,18,18,0.8798982662138414,-0.01676149042651905,1
275,18,18,0.2765864967387168,-0.08679790685828437,1
276,18,18,0.6975343779099004,-0.03705121774389318,1
277,18,18,0.25814135862664034,-0.08601974627345527,1
278,18,18,0.20955325542727654,-0.1304106834335059,1
279,18,18,0.4963601172968021,-0.0688075774694742,1
280,18,18,0.8130689678735437,-0.021314580484574262,1
281,18,18,0.056094251904742376,-0.17164474596270238,1
282,18,18,0.7980793999424487,-0.019552319414158338,1
283,18,18,0.3003948440173816,-0.09600116878890275,1
284,18,18,0.5738281317609804,-0.05119068459304054,1
285,18,18,0.6401179834408193,0.03340952347292645,1
286,18,18,0.35412280808613483,-0.06902443717111671,1
287,18,18,0.10964910215491272,-0.14549164016515037,1
288,18,18,0.2669310484558055,-0.07635096529006155,1
289,18,18,0.7939522197587794,-0.018088271709973278,1
290,18,18,0.0017403601490650383,-0.18400211768000793,1
291,18,18,0.4289560266880852,-0.06982325371807642,1
292,18,18,0.5600978523101778,0.0453802790916291,1
293,18,18,0.8292357098446888,0.017872329699652637,1
294,18,18,0.028973831312522028,-0.20637280258469795,1
295,18,18,0.10214649163648669,-0.11611082654850893,1
296,18,18,0.023245605877996723,-0.14365324507095695,1
297,18,18,0.19833682385145246,-0.1520347816318825,1
298,18,18,0.013304189433180921,-0.22344897169940223,1
299,18,18,0.3388806712360076,-0.08398308599889096,1
300,18,18,0.05403481145760831,-0.18974907001400576,1
